id(pk),tipo_asent
350,FRACCIONAMIENTO
351,COLONIA
352,COLONIA
353,COLONIA
354,COLONIA
355,COLONIA
356,COLONIA
357,FRACCIONAMIENTO
358,COLONIA
359,COLONIA
360,FRACCIONAMIENTO
361,COLONIA
362,EJIDO
363,COLONIA
364,COLONIA
365,COLONIA
366,FRACCIONAMIENTO
367,FRACCIONAMIENTO
368,COLONIA
369,COLONIA
370,COLONIA
371,COLONIA
372,EJIDO
373,EJIDO
374,COLONIA
375,PUEBLO
376,EJIDO
377,LOCALIDAD
378,COLONIA
379,CIUDAD
380,COLONIA
381,EJIDO
382,COLONIA
383,COLONIA
384,EJIDO
385,FRACCIONAMIENTO
386,COLONIA
387,COLONIA
388,EJIDO
389,FRACCIONAMIENTO
390,COLONIA
391,COLONIA
392,PUEBLO
393,COLONIA
394,COLONIA
395,COLONIA
396,EJIDO
397,PUEBLO
398,EJIDO
399,EJIDO
400,ZONA COMERCIAL
401,COLONIA
402,LOCALIDAD
403,FRACCIONAMIENTO
404,COLONIA
405,EJIDO
406,EJIDO
407,EJIDO
408,COLONIA
409,FRACCIONAMIENTO
410,COLONIA
411,COLONIA
412,FRACCIONAMIENTO
413,COLONIA
414,COLONIA
415,COLONIA
416,EJIDO
417,FRACCIONAMIENTO
418,COLONIA
419,COLONIA
420,COLONIA
421,COLONIA
422,COLONIA
423,COLONIA
424,FRACCIONAMIENTO
425,COLONIA
426,COLONIA
427,FRACCIONAMIENTO
428,COLONIA
429,COLONIA
430,COLONIA
431,COLONIA
432,EJIDO
433,FRACCIONAMIENTO
434,COLONIA
435,COLONIA
436,COLONIA
437,COLONIA
438,FRACCIONAMIENTO
439,FRACCIONAMIENTO
440,CIUDAD
441,COLONIA
442,COLONIA
443,COLONIA
444,COLONIA
445,LOCALIDAD
446,COLONIA
447,EJIDO
448,EJIDO
449,EJIDO
450,EJIDO
451,LOCALIDAD
452,EJIDO
453,COLONIA
454,EJIDO
455,EJIDO
456,COLONIA
457,COLONIA
458,COLONIA
459,COLONIA
460,COLONIA
461,COLONIA
462,COLONIA
463,CIUDAD
464,FRACCIONAMIENTO
465,COLONIA
466,FRACCIONAMIENTO
467,EJIDO
468,COLONIA
469,COLONIA
470,EJIDO
471,COLONIA
472,FRACCIONAMIENTO
473,COLONIA
474,LOCALIDAD
475,CIUDAD
476,FRACCIONAMIENTO
